Name,Wetland
Acorus americanus, OBL
Acorus calamus, OBL
Aeschynomene virginica, OBL
Agarista populifolia, OBL
Alisma gramineum, OBL
Alisma subcordatum, OBL
Alisma triviale, OBL
Alnus maritima, OBL
Alnus serrulata, OBL
Alopecurus aequalis, OBL
Alopecurus geniculatus, OBL
Alternanthera paronychioides, OBL
Alternanthera philoxeroides, OBL
Amaranthus australis, OBL
Amaranthus cannabinus, OBL
Ammannia auriculata, OBL
Ammannia coccinea, OBL
Ammannia latifolia, OBL
Ammannia robusta, OBL
Andromeda polifolia, OBL
Angelica atropurpurea, OBL
Arethusa bulbosa, OBL
Asclepias incarnata, OBL
Asclepias lanceolata, OBL
Asclepias perennis, OBL
Asclepias rubra, OBL
Azolla microphylla, OBL
Azolla pinnata, OBL
Bacopa caroliniana, OBL
Bacopa innominata, OBL
Bacopa monnieri, OBL
Bacopa rotundifolia, OBL
Bartonia paniculata, OBL
Bassia hirsuta, OBL
Beckmannia syzigachne, OBL
Bergia texana, OBL
Betula X, OBL
Betula pumila, OBL
Bidens beckii, OBL
Bidens cernua, OBL
Bidens laevis, OBL
Bidens mitis, OBL
Bidens trichosperma, OBL
Borrichia frutescens, OBL
Brasenia schreberi, OBL
Burmannia biflora, OBL
Burmannia capitata, OBL
Butomus umbellatus, OBL
Cabomba caroliniana, OBL
Calamagrostis coarctata, OBL
Calamovilfa brevipilis, OBL
Calla palustris, OBL
Callicarpa dichotoma, OBL
Callitriche heterophylla, OBL
Callitriche palustris, OBL
Callitriche peploides, OBL
Callitriche stagnalis, OBL
Calopogon pallidus, OBL
Caltha palustris, OBL
Campanula aparinoides, OBL
Canna X, OBL
Canna flaccida, OBL
Canna glauca, OBL
Cardamine bulbosa, OBL
Cardamine clematitis, OBL
Cardamine longii, OBL
Cardamine micranthera, OBL
Cardamine pensylvanica, OBL
Cardamine rotundifolia, OBL
Carex alata, OBL
Carex aquatilis, OBL
Carex arcta, OBL
Carex atherodes, OBL
Carex austrodeflexa, OBL
Carex baileyi, OBL
Carex barrattii, OBL
Carex bebbii, OBL
Carex billingsii, OBL
Carex bullata, OBL
Carex buxbaumii, OBL
Carex canescens, OBL
Carex chordorrhiza, OBL
Carex collinsii, OBL
Carex comosa, OBL
Carex crinita, OBL
Carex crus-corvi, OBL
Carex cryptolepis, OBL
Carex decomposita, OBL
Carex diandra, OBL
Carex echinata, OBL
Carex elliottii, OBL
Carex emoryi, OBL
Carex exilis, OBL
Carex extensa, OBL
Carex flava, OBL
Carex folliculata, OBL
Carex frankii, OBL
Carex gigantea, OBL
Carex glaucescens, OBL
Carex gynandra, OBL
Carex gynocrates, OBL
Carex haydenii, OBL
Carex hormathodes, OBL
Carex hyalinolepis, OBL
Carex hystericina, OBL
Carex interior, OBL
Carex joorii, OBL
Carex lacustris, OBL
Carex laeviconica, OBL
Carex laevivaginata, OBL
Carex lasiocarpa, OBL
Carex leptalea, OBL
Carex limosa, OBL
Carex lonchocarpa, OBL
Carex longii, OBL
Carex louisianica, OBL
Carex lupulina, OBL
Carex lurida, OBL
Carex magellanica, OBL
Carex michauxiana, OBL
Carex mitchelliana, OBL
Carex muskingumensis, OBL
Carex nebrascensis, OBL
Carex oklahomensis, OBL
Carex oligosperma, OBL
Carex ozarkana, OBL
Carex pauciflora, OBL
Carex pedunculata, OBL
Carex pellita, OBL
Carex prasina, OBL
Carex pseudocyperus, OBL
Carex sartwellii, OBL
Carex scabrata, OBL
Carex schweinitzii, OBL
Carex sterilis, OBL
Carex stipata, OBL
Carex straminea, OBL
Carex striata, OBL
Carex stricta, OBL
Carex suberecta, OBL
Carex tenuiflora, OBL
Carex trichocarpa, OBL
Carex trisperma, OBL
Carex tuckermanii, OBL
Carex turgescens, OBL
Carex utriculata, OBL
Carex venusta, OBL
Carex verrucosa, OBL
Carex vesicaria, OBL
Carex viridula, OBL
Carex vulpinoidea, OBL
Carex wiegandii, OBL
Carya X, OBL
Carya aquatica, OBL
Cephalanthus occidentalis, OBL
Ceratophyllum demersum, OBL
Ceratophyllum echinatum, OBL
