Plot,Name
148-01-0003,Botrypus virginianus
148-01-0003,Sceptridium
148-01-0003,Pinus taeda
148-01-0003,Endodeca serpentaria
148-01-0003,Uvularia perfoliata
148-01-0003,Smilax glauca
148-01-0003,Smilax rotundifolia
148-01-0003,Carex flaccosperma
148-01-0003,Liparis liliifolia
148-01-0003,Carex
148-01-0003,Poaceae
148-01-0003,Liquidambar styraciflua
148-01-0003,Vitis
148-01-0003,Parthenocissus quinquefolia
148-01-0003,Gleditsia triacanthos
148-01-0003,Hylodesmum nudiflorum
148-01-0003,Rubus pensilvanicus
148-01-0003,Potentilla canadensis
148-01-0003,Ulmus alata
148-01-0003,Quercus alba
148-01-0003,Quercus falcata
148-01-0003,Quercus phellos
148-01-0003,Quercus velutina
148-01-0003,Carya glabra
148-01-0003,Carya ovata
148-01-0003,Carya tomentosa
148-01-0003,Euonymus americanus
148-01-0003,Viola
148-01-0003,Aesculus sylvatica
148-01-0003,Benthamidia florida
148-01-0003,Nyssa sylvatica
148-01-0003,Chimaphila maculata
148-01-0003,Galium circaezans
148-01-0003,Mitchella repens
148-01-0003,Fraxinus americana
148-01-0003,Campsis radicans
148-01-0003,Ilex opaca
148-01-0003,Elephantopus
148-01-0003,Viburnum rafinesqueanum
148-01-0003,Lonicera japonica
148-01-0003,Lonicera sempervirens
148-01-0003,Acer rubrum
148-01-0003,Carpinus caroliniana
148-01-0003,Cercis canadensis
148-01-0003,Fagus grandifolia var. caroliniana
148-01-0003,Galium tinctorium
148-01-0003,Juniperus virginiana
148-01-0003,Maianthemum racemosum
148-01-0003,Muscadinia rotundifolia var. rotundifolia
148-01-0003,Prunus serotina var. serotina
148-01-0003,Quercus rubra var. rubra
148-01-0003,Sanicula canadensis
148-01-0003,Smilax bona-nox var. bona-nox
148-01-0003,Toxicodendron radicans var. radicans
148-01-0007,Carex
148-01-0007,Poaceae
148-01-0007,Hylodesmum nudiflorum
148-01-0007,Amelanchier arborea
148-01-0007,Quercus alba
148-01-0007,Quercus falcata
148-01-0007,Quercus velutina
148-01-0007,Carya glabra
148-01-0007,Benthamidia florida
148-01-0007,Nyssa sylvatica
148-01-0007,Oxydendrum arboreum
148-01-0007,Vaccinium pallidum
148-01-0007,Fraxinus americana
148-01-0007,Acer rubrum
148-01-0007,Carpinus caroliniana
148-01-0007,Juniperus virginiana
148-01-0007,Liriodendron tulipifera var. tulipifera
148-01-0007,Prunus serotina var. serotina
148-01-0007,Quercus rubra var. rubra
148-01-0007,Vaccinium stamineum
148-01-0011,Dichanthelium laxiflorum
148-01-0011,Botrypus virginianus
148-01-0011,Polystichum acrostichoides
148-01-0011,Pinus taeda
148-01-0011,Endodeca serpentaria
148-01-0011,Uvularia perfoliata
148-01-0011,Uvularia sessilifolia
148-01-0011,Liparis liliifolia
148-01-0011,Carex
148-01-0011,Poaceae
148-01-0011,Liquidambar styraciflua
148-01-0011,Microstegium vimineum
148-01-0011,Parthenocissus quinquefolia
148-01-0011,Vitis
148-01-0011,Lespedeza cuneata
148-01-0011,Hylodesmum nudiflorum
148-01-0011,Potentilla canadensis
148-01-0011,Ulmus alata
148-01-0011,Quercus alba
148-01-0011,Quercus velutina
148-01-0011,Carya glabra
148-01-0011,Carya tomentosa
148-01-0011,Oxalis stricta
148-01-0011,Viola
148-01-0011,Benthamidia florida
148-01-0011,Nyssa sylvatica
148-01-0011,Diospyros virginiana
148-01-0011,Rhododendron periclymenoides
148-01-0011,Oxydendrum arboreum
148-01-0011,Galium circaezans
148-01-0011,Galium triflorum
148-01-0011,Fraxinus americana
148-01-0011,Scutellaria integrifolia
148-01-0011,Ruellia caroliniensis
148-01-0011,Campsis radicans
148-01-0011,Lobelia
148-01-0011,Viburnum rafinesqueanum
148-01-0011,Lonicera japonica
148-01-0011,Acer rubrum
148-01-0011,Amphicarpaea bracteata
148-01-0011,Carpinus caroliniana
148-01-0011,Cercis canadensis
148-01-0011,Fagus grandifolia var. caroliniana
148-01-0011,Galium tinctorium
148-01-0011,Juniperus virginiana
148-01-0011,Liriodendron tulipifera var. tulipifera
148-01-0011,Maianthemum racemosum
148-01-0011,Muscadinia rotundifolia var. rotundifolia
148-01-0011,Prunus serotina var. serotina
148-01-0011,Quercus rubra var. rubra
148-01-0011,Sanicula canadensis
148-01-0011,Toxicodendron radicans var. radicans
148-01-0011,Vaccinium stamineum
148-01-0013,Botrypus virginianus
148-01-0013,Pinus taeda
148-01-0013,Smilax rotundifolia
148-01-0013,Carex
148-01-0013,Poaceae
148-01-0013,Liquidambar styraciflua
148-01-0013,Parthenocissus quinquefolia
148-01-0013,Rubus pensilvanicus
148-01-0013,Ulmus alata
148-01-0013,Celtis occidentalis
148-01-0013,Morus rubra
148-01-0013,Quercus alba
148-01-0013,Quercus falcata
148-01-0013,Quercus phellos
148-01-0013,Quercus velutina
148-01-0013,Carya glabra
148-01-0013,Euonymus americanus
148-01-0013,Benthamidia florida
148-01-0013,Nyssa sylvatica
148-01-0013,Diospyros virginiana
148-01-0013,Vaccinium tenellum
148-01-0013,Mitchella repens
148-01-0013,Fraxinus americana
148-01-0013,Ilex opaca
148-01-0013,Elephantopus tomentosus
148-01-0013,Lonicera japonica
148-01-0013,Acer rubrum
148-01-0013,Carpinus caroliniana
148-01-0013,Cercis canadensis
148-01-0013,Galium tinctorium
148-01-0013,Ilex decidua
148-01-0013,Juniperus virginiana
148-01-0013,Liriodendron tulipifera var. tulipifera
148-01-0013,Muscadinia rotundifolia var. rotundifolia
148-01-0013,Prunus serotina var. serotina
148-01-0013,Quercus rubra var. rubra
148-01-0013,Sanicula canadensis
148-01-0013,Smilax bona-nox var. bona-nox
148-01-0013,Toxicodendron radicans var. radicans
148-01-0013,Ulmus americana var. americana
148-01-0013,Vaccinium stamineum
148-01-0015,Dichanthelium laxiflorum
148-01-0015,Pinus taeda
148-01-0015,Smilax rotundifolia
148-01-0015,Poaceae
148-01-0015,Liquidambar styraciflua
148-01-0015,Rubus pensilvanicus
148-01-0015,Amelanchier arborea
148-01-0015,Ulmus alata
148-01-0015,Quercus phellos
148-01-0015,Carya glabra
148-01-0015,Carya pallida
148-01-0015,[Hypericum + Triadenum]
148-01-0015,Benthamidia florida
148-01-0015,Nyssa sylvatica
148-01-0015,Diospyros virginiana
148-01-0015,Oxydendrum arboreum
148-01-0015,Fraxinus americana
148-01-0015,Lonicera japonica
148-01-0015,Acer rubrum
148-01-0015,Juniperus virginiana
148-01-0015,Muscadinia rotundifolia var. rotundifolia
148-01-0015,Toxicodendron radicans var. radicans
148-01-0015,Vaccinium stamineum
148-01-0019,Magnoliophyta {Unknown}
148-01-0019,Arisaema triphyllum
148-01-0019,Pinus taeda
148-01-0019,Smilax glauca
148-01-0019,Smilax rotundifolia
148-01-0019,Carex
148-01-0019,Microstegium vimineum
148-01-0019,Liquidambar styraciflua
148-01-0019,Parthenocissus quinquefolia
148-01-0019,Ulmus alata
148-01-0019,Quercus alba
148-01-0019,Quercus phellos
148-01-0019,Carya glabra
148-01-0019,Euonymus americanus
148-01-0019,Nyssa sylvatica
148-01-0019,Diospyros virginiana
148-01-0019,Vaccinium tenellum
148-01-0019,Mitchella repens
148-01-0019,Fraxinus americana
148-01-0019,Chionanthus virginicus
148-01-0019,Campsis radicans
148-01-0019,Ilex opaca
148-01-0019,Ilex verticillata
148-01-0019,Lonicera japonica
148-01-0019,Acer rubrum
148-01-0019,Ilex decidua
148-01-0019,Juniperus virginiana
148-01-0019,Muscadinia rotundifolia var. rotundifolia
148-01-0019,Toxicodendron radicans var. radicans
148-01-0023,Polystichum acrostichoides
148-01-0023,Pinus taeda
148-01-0023,Uvularia perfoliata
148-01-0023,Smilax rotundifolia
148-01-0023,Podophyllum peltatum
148-01-0023,Liquidambar styraciflua
148-01-0023,Parthenocissus quinquefolia
148-01-0023,Ulmus alata
148-01-0023,Quercus alba
148-01-0023,Quercus falcata
148-01-0023,Quercus velutina
148-01-0023,Carya glabra
148-01-0023,Carya pallida
148-01-0023,Carya tomentosa
148-01-0023,Euonymus americanus
148-01-0023,Benthamidia florida
148-01-0023,Nyssa sylvatica
148-01-0023,Diospyros virginiana
148-01-0023,Galium circaezans
148-01-0023,Ipomoea
148-01-0023,Fraxinus americana
148-01-0023,Viburnum rafinesqueanum
148-01-0023,Lonicera japonica
148-01-0023,Lonicera sempervirens
148-01-0023,Acer rubrum
148-01-0023,Cercis canadensis
148-01-0023,Galium tinctorium
148-01-0023,Liriodendron tulipifera var. tulipifera
148-01-0023,Muscadinia rotundifolia var. rotundifolia
148-01-0023,Prunus serotina var. serotina
148-01-0023,Quercus rubra var. rubra
148-01-0023,Toxicodendron radicans var. radicans
148-01-0026,Dichanthelium boscii
148-01-0026,Dichanthelium laxiflorum
148-01-0026,Botrypus virginianus
148-01-0026,Asplenium platyneuron
148-01-0026,Polystichum acrostichoides
148-01-0026,Smilax glauca
148-01-0026,Smilax rotundifolia
148-01-0026,Carex
148-01-0026,Poaceae
148-01-0026,Dichanthelium polyanthes
148-01-0026,Microstegium vimineum
148-01-0026,Clematis viorna
148-01-0026,Liquidambar styraciflua
148-01-0026,Parthenocissus quinquefolia
148-01-0026,Vitis
148-01-0026,[Desmodium + Hylodesmum]
148-01-0026,Hylodesmum nudiflorum
148-01-0026,Rubus pensilvanicus
148-01-0026,Amelanchier arborea
148-01-0026,Ulmus alata
148-01-0026,Celtis occidentalis
148-01-0026,Boehmeria cylindrica
148-01-0026,Quercus alba
148-01-0026,Quercus phellos
148-01-0026,Carya glabra
148-01-0026,Carya tomentosa
148-01-0026,Euonymus americanus
148-01-0026,Oxalis stricta
148-01-0026,Viola affinis
148-01-0026,Viola
148-01-0026,Aesculus sylvatica
148-01-0026,Benthamidia florida
148-01-0026,Nyssa sylvatica
148-01-0026,Diospyros virginiana
148-01-0026,Galium circaezans
148-01-0026,Galium triflorum
148-01-0026,Fraxinus americana
148-01-0026,Ligustrum sinense
148-01-0026,Ilex opaca
148-01-0026,Viburnum rafinesqueanum
148-01-0026,Lonicera japonica
148-01-0026,Lonicera sempervirens
148-01-0026,Carpinus caroliniana
148-01-0026,Cercis canadensis
148-01-0026,Chrysogonum [repens + virginianum]
148-01-0026,Fagus grandifolia var. caroliniana
148-01-0026,Galium tinctorium
148-01-0026,Juniperus virginiana
148-01-0026,Liriodendron tulipifera var. tulipifera
148-01-0026,Muscadinia rotundifolia var. rotundifolia
148-01-0026,Prunus serotina var. serotina
148-01-0026,Quercus rubra var. rubra
148-01-0026,Rudbeckia laciniata
148-01-0026,Sanicula canadensis
148-01-0026,Toxicodendron radicans var. radicans
148-01-0031,Pinus taeda
148-01-0031,Endodeca serpentaria
148-01-0031,Smilax glauca
148-01-0031,Smilax herbacea
148-01-0031,Smilax rotundifolia
148-01-0031,Carex flaccosperma
148-01-0031,Carex
148-01-0031,Microstegium vimineum
148-01-0031,Liquidambar styraciflua
148-01-0031,Parthenocissus quinquefolia
148-01-0031,Rubus pensilvanicus
148-01-0031,Ulmus alata
148-01-0031,Quercus alba
148-01-0031,Carya glabra
148-01-0031,Euonymus americanus
148-01-0031,Viola affinis
148-01-0031,Viola palmata var. palmata
148-01-0031,Nyssa sylvatica
148-01-0031,Vaccinium tenellum
148-01-0031,Galium circaezans
148-01-0031,Fraxinus americana
148-01-0031,Ruellia caroliniensis
148-01-0031,Ilex
148-01-0031,Lonicera japonica
148-01-0031,Acer rubrum
148-01-0031,Amphicarpaea bracteata
148-01-0031,Carpinus caroliniana
148-01-0031,Cercis canadensis
148-01-0031,Juniperus virginiana
148-01-0031,Muscadinia rotundifolia var. rotundifolia
148-01-0031,Smilax bona-nox var. bona-nox
148-01-0031,Toxicodendron radicans var. radicans
148-01-0033,Botrypus virginianus
148-01-0033,Pinus taeda
148-01-0033,Sassafras albidum
148-01-0033,Uvularia perfoliata
148-01-0033,Smilax glauca
148-01-0033,Goodyera pubescens
148-01-0033,Carex
148-01-0033,Poaceae
148-01-0033,Liquidambar styraciflua
148-01-0033,Parthenocissus quinquefolia
148-01-0033,Hylodesmum nudiflorum
148-01-0033,Elaeagnus umbellata
148-01-0033,Quercus alba
148-01-0033,Quercus falcata
148-01-0033,Quercus phellos
148-01-0033,Quercus velutina
148-01-0033,Carya glabra
148-01-0033,Carya ovata
148-01-0033,Carya pallida
148-01-0033,Carya tomentosa
148-01-0033,Euonymus americanus
148-01-0033,Viola palmata var. palmata
148-01-0033,Benthamidia florida
148-01-0033,Nyssa sylvatica
148-01-0033,Diospyros virginiana
148-01-0033,Galium triflorum
148-01-0033,Mitchella repens
148-01-0033,Fraxinus americana
148-01-0033,Campsis radicans
148-01-0033,Ilex opaca
148-01-0033,Viburnum rafinesqueanum
148-01-0033,Acer rubrum
148-01-0033,Carpinus caroliniana
148-01-0033,Cercis canadensis
148-01-0033,Hexastylis arifolia
148-01-0033,Juniperus virginiana
148-01-0033,Liriodendron tulipifera var. tulipifera
148-01-0033,Maianthemum racemosum
148-01-0033,Muscadinia rotundifolia var. rotundifolia
148-01-0033,Prunus serotina var. serotina
148-01-0033,Quercus rubra var. rubra
148-01-0033,Smilax bona-nox var. bona-nox
148-01-0033,Toxicodendron radicans var. radicans
004-01-0145,Asimina triloba
004-01-0145,Acer rubrum var. rubrum
004-01-0145,[Andropogon + Schizachyrium]
004-01-0145,Endodeca serpentaria
004-01-0145,Arundinaria [gigantea + tecta]
004-01-0145,Betula nigra
004-01-0145,Bignonia capreolata
004-01-0145,Carex {section Acrocystis}
004-01-0145,Carex
004-01-0145,Carpinus caroliniana
004-01-0145,Carya cordiformis
004-01-0145,Celtis [occidentalis + pumila]
004-01-0145,Centrosema virginianum var. virginianum
004-01-0145,Chamaecrista fasciculata var. fasciculata
004-01-0145,Chasmanthium latifolium
004-01-0145,Clitoria mariana var. mariana
004-01-0145,Benthamidia florida
004-01-0145,Cyperus
004-01-0145,Desmodium paniculatum var. paniculatum
004-01-0145,Desmodium viridiflorum
004-01-0145,Dichanthelium yadkinense
004-01-0145,Dichanthelium laxiflorum
004-01-0145,Diospyros virginiana
004-01-0145,Elephantopus carolinianus
004-01-0145,Euonymus americanus
004-01-0145,Galium circaezans
004-01-0145,Gelsemium sempervirens
004-01-0145,Gymnopogon ambiguus
004-01-0145,Halesia tetraptera
004-01-0145,Ilex opaca
004-01-0145,Lespedeza cuneata
004-01-0145,Lespedeza
004-01-0145,Liquidambar styraciflua
004-01-0145,Liriodendron tulipifera var. tulipifera
004-01-0145,Lonicera japonica
004-01-0145,Maianthemum racemosum
004-01-0145,[Gonolobus + Matelea]
004-01-0145,Menispermum canadense
004-01-0145,Morus rubra
004-01-0145,Paspalum setaceum
004-01-0145,Piptochaetium avenaceum
004-01-0145,Poa
004-01-0145,Prunus americana
004-01-0145,Quercus nigra
004-01-0145,Quercus pagoda
004-01-0145,Quercus phellos
004-01-0145,Robinia pseudoacacia
004-01-0145,Sassafras albidum
004-01-0145,Smilax bona-nox var. bona-nox
004-01-0145,Smilax glauca
004-01-0145,Smilax rotundifolia
004-01-0145,Stachys matthewsii
004-01-0145,Symphoricarpos orbiculatus
004-01-0145,Symphyotrichum lateriflorum
004-01-0145,Toxicodendron radicans var. radicans
004-01-0145,Ulmus alata
004-01-0145,Verbesina occidentalis
004-01-0145,Viburnum [carolinianum + dentatum + recognitum]
004-01-0145,Viola
004-01-0145,Muscadinia rotundifolia var. rotundifolia
004-01-0146,Acer rubrum
004-01-0146,Amelanchier arborea
004-01-0146,Athyrium asplenioides
004-01-0146,Carex stricta
004-01-0146,Carpinus caroliniana
004-01-0146,Chasmanthium laxum
004-01-0146,Diospyros virginiana
004-01-0146,Elephantopus [carolinianus + nudatus + tomentosus]
004-01-0146,Euonymus americanus
004-01-0146,Eutrochium fistulosum
004-01-0146,Ilex [ambigua + montana]
004-01-0146,Ilex opaca
004-01-0146,Itea virginica
004-01-0146,Liquidambar styraciflua
004-01-0146,Liriodendron tulipifera var. tulipifera
004-01-0146,Mitchella repens
004-01-0146,Osmundastrum cinnamomeum
004-01-0146,Osmunda spectabilis
004-01-0146,Oxydendrum arboreum
004-01-0146,Aronia arbutifolia
004-01-0146,Quercus alba
004-01-0146,Quercus falcata
004-01-0146,Quercus stellata
004-01-0146,Sassafras albidum
004-01-0146,Smilax glauca
004-01-0146,Smilax rotundifolia
004-01-0146,Toxicodendron radicans var. radicans
004-01-0146,Uvularia [perfoliata + puberula + sessilifolia]
004-01-0146,Vaccinium corymbosum
004-01-0146,Viburnum nudum
004-01-0146,Muscadinia rotundifolia var. rotundifolia
004-01-0150,Asplenium platyneuron
004-01-0150,Acer leucoderme
004-01-0150,Aesculus sylvatica
004-01-0150,Amelanchier arborea
004-01-0150,Andropogon [glomeratus + virginicus var. virginicus]
004-01-0150,Endodeca serpentaria
004-01-0150,Carex caroliniana
004-01-0150,Carex nigromarginata
004-01-0150,Carya tomentosa
004-01-0150,Carya carolinae-septentrionalis
004-01-0150,Cercis canadensis
004-01-0150,Crataegus uniflora
004-01-0150,Dichanthelium ravenelii
004-01-0150,Euphorbia [corollata + pubentissima]
004-01-0150,Fraxinus [americana + biltmoreana + smallii]
004-01-0150,Galactia [brachypoda + regularis]
004-01-0150,Galium circaezans
004-01-0150,Gelsemium sempervirens
004-01-0150,Juniperus virginiana
004-01-0150,Lespedeza virginica
004-01-0150,Lonicera sempervirens
004-01-0150,Melica mutica
004-01-0150,Monarda fistulosa var. mollis
004-01-0150,Parthenocissus quinquefolia
004-01-0150,Pinus virginiana
004-01-0150,Piptochaetium avenaceum
004-01-0150,Prunus serotina var. serotina
004-01-0150,Quercus alba
004-01-0150,Quercus montana
004-01-0150,Quercus nigra
004-01-0150,Quercus rubra var. rubra
004-01-0150,Quercus stellata
004-01-0150,Rhus aromatica var. aromatica
004-01-0150,Rosa carolina
004-01-0150,Scleria [nitida + triglomerata]
004-01-0150,Smilax bona-nox var. bona-nox
004-01-0150,Symphoricarpos orbiculatus
004-01-0150,Symphyotrichum patens var. patens
004-01-0150,Tragia urticifolia
