Plot,CEGL,Alliance,Group,MacroG
004-05-0154,CEGL003663,A3305,G190,M007
004-03-0153,CEGL003663,A3305,G190,M007
108-KIMO-0020,CEGL007216,A3232,G031,M305
103-COWP-0010,CEGL007216,A3232,G031,M305
105-NISI-0002,CEGL004638,A3232,G031,M305
105-NISI-0004,CEGL004638,A3232,G031,M305
118-42-0556,CEGL007521,A3231,G031,M305
141-01-0022,CEGL007521,A3231,G031,M305
118-42-0519,CEGL007521,A3231,G031,M305
141-01-0017,CEGL007521,A3231,G031,M305
105-NISI-0010,CEGL008462,A3231,G031,M305
118-42-0058,CEGL008462,A3231,G031,M305
118-42-0056,CEGL008462,A3231,G031,M305
103-COWP-0001,CEGL008462,A3231,G031,M305
118-42-0093,CEGL008462,A3231,G031,M305
105-NISI-0008,CEGL008462,A3231,G031,M305
118-42-0077,CEGL008462,A3231,G031,M305
118-42-0054,CEGL008462,A3231,G031,M305
141-01-0024,CEGL008462,A3231,G031,M305
103-COWP-0004,CEGL008462,A3231,G031,M305
105-NISI-0006,CEGL008462,A3231,G031,M305
118-42-0528,CEGL008462,A3231,G031,M305
105-NISI-0005,CEGL008462,A3231,G031,M305
141-01-0016,CEGL008462,A3231,G031,M305
019-01-0028,CEGL008462,A3231,G031,M305
019-01-0020,CEGL008462,A3231,G031,M305
118-42-0551,CEGL008462,A3231,G031,M305
118-42-0532,CEGL007114,A3231,G031,M305
118-42-0570,CEGL006011,A3231,G031,M305
118-42-0531,CEGL006011,A3231,G031,M305
118-42-0525,CEGL006011,A3231,G031,M305
118-42-0078,CEGL006011,A3231,G031,M305
118-42-0036,CEGL006011,A3231,G031,M305
118-42-0006,CEGL006011,A3231,G031,M305
118-42-0539,CEGL006011,A3231,G031,M305
141-01-0015,CEGL006011,A3231,G031,M305
118-42-0569,CEGL006011,A3231,G031,M305
118-42-0562,CEGL006011,A3231,G031,M305
118-42-0557,CEGL006011,A3231,G031,M305
103-COWP-0006,CEGL006011,A3231,G031,M305
118-42-0055,CEGL006011,A3231,G031,M305
118-42-0564,CEGL006011,A3231,G031,M305
118-42-0075,CEGL006011,A3231,G031,M305
118-42-0034,CEGL006011,A3231,G031,M305
118-42-0059,CEGL006011,A3231,G031,M305
118-42-0044,CEGL006011,A3231,G031,M305
118-42-0523,CEGL006011,A3231,G031,M305
118-42-0541,CEGL006011,A3231,G031,M305
118-42-0070,CEGL006011,A3231,G031,M305
118-42-0050,CEGL006011,A3231,G031,M305
118-42-0063,CEGL006011,A3231,G031,M305
118-42-0060,CEGL006011,A3231,G031,M305
085-FPMR-0003,CEGL003620,A3231,G031,M305
129-04-1500,CEGL004539,A2059,G166,M008
089-06-1225,CEGL004539,A2059,G166,M008
059-03-0856,CEGL004539,A2059,G166,M008
085-KERR-0042,CEGL008466,A3265,G020,M883
