Name,Origin
[Abdra + Draba],mixed
[Ageratina + Conoclinium + Eupatorium + Eutrochium + Fleischmannia],mixed
[Alkekengi + Physalis],mixed
[Amauropelta + Christella + Pelazoneuron + Thelypteris],mixed
[Amauropelta + Coryphopteris + Thelypteris],Native
[Amauropelta + Pelazoneuron + Thelypteris],Native
[Ampelaster + Aster + Doellingeria + Eurybia + Ionactis + Oclemena + Sericocarpus + Symphyotrichum],mixed
[Ampelaster + Doellingeria + Eurybia + Ionactis + Oclemena + Sericocarpus + Symphyotrichum],mixed
[Ampelaster + Doellingeria + Eurybia + Ionactis + Sericocarpus + Solidago + Symphyotrichum],mixed
[Ampelaster + Doellingeria + Eurybia + Ionactis + Sericocarpus + Symphyotrichum],mixed
[Ampelaster + Eurybia + Ionactis + Oclemena + Sericocarpus + Symphyotrichum],mixed
[Ampelopsis + Nekemias],mixed
[Anagallis + Centunculus + Lysimachia + Steironema + Trientalis],mixed
[Anagallis + Centunculus + Lysimachia + Steironema],mixed
[Anagallis + Lysimachia + Steironema + Trientalis],mixed
[Anagallis + Lysimachia + Steironema],mixed
[Anchistea + Lorinseria],Native
[Andropogon + Schizachyrium],Native
[Andropogon gyrans + Andropogon ternarius + Schizachyrium scoparium var. scoparium + Schizachyrium stoloniferum],Native
[Andropogon gyrans + Andropogon ternarius + Schizachyrium scoparium var. scoparium],Native
[Andropogon gyrans + Andropogon ternarius + Schizachyrium scoparium],Native
[Anemonastrum + Anemone + Hepatica],mixed
[Anemonastrum + Anemone],mixed
[Anemone + Hepatica],mixed
[Arabidopsis + Arabis + Borodinia + Turritis],mixed
[Arabidopsis + Arabis],mixed
[Arabidopsis + Borodinia],mixed
[Arnoglossum + Hasteola + Rugelia + Senecio],mixed
[Aruncus dioicus var. dioicus + Astilbe biternata],Native
[Aster + Doellingeria + Eurybia + Ionactis + Oclemena + Sericocarpus + Symphyotrichum],mixed
[Aster + Doellingeria + Eurybia + Ionactis + Sericocarpus + Symphyotrichum],mixed
[Atocion + Silene],mixed
[Avenella + Deschampsia],mixed
[Bacopa + Micranthemum umbrosum],mixed
[Benthamidia + Chamaepericlymenum + Swida],mixed
[Benthamidia + Swida],mixed
[Betonica + Stachys],mixed
[Botrypus + Sceptridium],Native
[Bradburia + Chrysopsis + Heterotheca + Pityopsis],Native
[Bradburia + Chrysopsis],Native
[Brassica + Rhamphospermum],Alien
[Bryodesma + Lycopodioides],mixed
[Calamagrostis + Greeneochloa],mixed
[Calamovilfa + Spartina + Sporobolus],mixed
[Campanula + Campanulastrum],mixed
[Carduus + Cirsium],mixed
[Carphephorus + Trilisa],Native
[Centaurea + Cyanus],Alien
[Centrosema + Clitoria],mixed
[Cerastium + Geocarpon + Rabelera + Sabulina + Stellaria],mixed
[Cerastium + Geocarpon + Sabulina + Stellaria],mixed
[Cerastium + Geocarpon + Stellaria],mixed
[Cerastium + Stellaria],mixed
[Chenopodiastrum + Chenopodium + Oxybasis],mixed
[Chloris + Eustachys + Stapfochloa],mixed
[Chloris + Eustachys],mixed
[Chloris + Stapfochloa],mixed
[Chthamalia + Matelea],Native
[Claytosmunda + Osmunda],Native
[Claytosmunda claytoniana + Osmundastrum cinnamomeum],Native
[Coleataenia + Dichanthelium + Panicum],mixed
[Coleataenia + Hymenachne + Panicum],mixed
[Coleataenia + Panicum],mixed
[Cynanchum + Orthosia],Native
[Dalibarda + Rubacer + Rubus],mixed
[Danthonia + Deschampsia],mixed
[Dendrolycopodium + Diphasiastrum + Huperzia + Lycopodiella + Lycopodium],Native
[Desmodium + Grona + Hylodesmum],mixed
[Desmodium + Hylodesmum],mixed
[Diamorpha + Hylotelephium + Sedum],mixed
[Digitaria + Leptoloma],Mixed
[Diodia virginiana + Hexasepalum teres],Native
[Doellingeria + Eurybia + Ionactis + Oclemena + Sericocarpus + Symphyotrichum],mixed
[Doellingeria + Eurybia + Ionactis + Sericocarpus + Symphyotrichum],mixed
[Doellingeria + Eurybia + Ionactis + Symphyotrichum],mixed
[Duravia + Fallopia + Koenigia + Persicaria + Polygonum + Reynoutria],mixed
[Duravia + Fallopia + Persicaria + Polygonella + Polygonum + Reynoutria],mixed
[Duravia + Fallopia + Persicaria + Polygonum + Reynoutria],mixed
[Duravia + Fallopia + Persicaria + Polygonum],mixed
[Duravia + Persicaria + Polygonum],mixed
[Duravia + Polygonella + Polygonum],mixed
[Duravia + Polygonum],mixed
[Emblica + Moeroris + Nellica + Phyllanthus],mixed
[Erythranthe + Mimulus],mixed
[Eubotrys + Leucothoe],Native
[Euploca + Heliotropium],mixed
[Eurybia + Ionactis + Sericocarpus + Symphyotrichum],mixed
[Fallopia + Persicaria + Polygonella + Polygonum + Reynoutria],mixed
[Festuca + Lolium],mixed
[Ficaria + Ranunculus],mixed
[Gamochaeta + Pseudognaphalium],mixed
[Gentiana + Gentianella + Gentianopsis],Native
[Gentiana + Gentianella],Native
[Geum + Waldsteinia],mixed
[Glandularia + Verbena],mixed
[Gonolobus + Matelea],Native
[Hasteola + Packera + Rugelia + Senecio],mixed
[Hieracium + Pilosella],mixed
[Hypericum + Triadenum],mixed
[Ilex + Lyonia],mixed
[Ilex + Prunus],mixed
[Juncus + Oreojuncus],mixed
[Koenigia + Persicaria],mixed
[Lactuca + Nabalus],mixed
[Landoltia + Lemna + Spirodela + Wolffia + Wolffiella],mixed
[Landoltia + Spirodela],mixed
[Lindernia + Torenia],mixed
[Lycopodiaceae + Huperziaceae],Native
[Malus + Pyrus],mixed
[Megathyrsus + Urochloa],mixed
[Melanthium + Veratrum],Native
[Muscadinia + Vitis],mixed
[Packera + Rugelia + Senecio],mixed
[Packera + Senecio],mixed
[Paspalidium + Setaria],mixed
[Polygala + Rhinotropis],Native
[Polygonella + Polygonum],mixed
[Rubacer + Rubus],mixed
[Schoenoplectiella + Schoenoplectus + Scirpus],mixed
[Schoenoplectiella + Schoenoplectus],mixed
